genome,MAG_ID,cluster,score
3300047629_5.fna,3300047629_5,227_0,80.44067218827564
3300032157_30.fna,3300032157_30,228_0,66.29049219617458
3300062833_53.fna,3300062833_53,229_0,73.88835526958964
3300082244_25.fna,3300082244_25,230_0,67.85502703190178
3300055049_23.fna,3300055049_23,231_0,73.36441562542758
3300060323_106.fna,3300060323_106,232_0,72.15814983074924
3300063260_53.fna,3300063260_53,233_1,74.40822640934077
3300063261_73.fna,3300063261_73,233_2,74.68599676
3300053229_35.fna,3300053229_35,234_0,74.87085292075015
3300059374_30.fna,3300059374_30,235_0,63.51762655939257
3300060314_19.fna,3300060314_19,236_0,73.61111891233689
3300049580_30.fna,3300049580_30,237_1,75.52197575793488
3300056752_137.fna,3300056752_137,238_1,75.35607894931552
3300063180_25.fna,3300063180_25,239_1,77.25485702176282
3300064047_119.fna,3300064047_119,240_0,73.61515121241976
3300057055_43.fna,3300057055_43,241_1,94.93400761755882
3300057044_3.fna,3300057044_3,242_0,74.35330900221993
3300057013_129.fna,3300057013_129,243_1,92.68254832056373
3300056889_149.fna,3300056889_149,244_0,95.7933152
3300033405_44.fna,3300033405_44,245_1,98.15236070580576
3300044904_83.fna,3300044904_83,246_1,85.75857002080086
3300038423_25.fna,3300038423_25,246_2,100.76329224790764
3300057044_4.fna,3300057044_4,247_0,77.09824740250487
3300036851_10.fna,3300036851_10,248_0,97.39752369225859
3300060914_32.fna,3300060914_32,249_0,61.946960479400644
3300064047_105.fna,3300064047_105,250_0,50.306543300142714
3300044712_49.fna,3300044712_49,251_0,74.88230988142656
3300082211_163.fna,3300082211_163,252_0,69.55761404511303
3300051196_86.fna,3300051196_86,253_0,62.58683855094115
3300057017_20.fna,3300057017_20,254_0,80.79573158254192
3300057044_52.fna,3300057044_52,255_0,69.21474811673288
3300057017_116.fna,3300057017_116,256_1,89.15412742903507
3300057042_23.fna,3300057042_23,257_0,81.41632355310915
3300057034_6.fna,3300057034_6,258_1,91.19825082769432
3300057029_56.fna,3300057029_56,259_0,92.43035551
3300056751_12.fna,3300056751_12,260_0,88.53700540879359
3300072960_18.fna,3300072960_18,261_0,68.48134736560273
3300063166_56.fna,3300063166_56,262_1,83.3729712
3300061213_99.fna,3300061213_99,263_0,81.35916831
3300054985_4.fna,3300054985_4,264_1,89.72762544602857
3300056867_133.fna,3300056867_133,265_1,85.55306767610786
3300028800_17.fna,3300028800_17,266_0,89.71369831653178
3300054967_2.fna,3300054967_2,267_0,89.72473028482113
3300055072_123.fna,3300055072_123,268_0,92.20400868889715
3300054967_30.fna,3300054967_30,269_0,91.89661275393448
3300055099_65.fna,3300055099_65,270_0,84.13313185284251
3300054967_69.fna,3300054967_69,271_0,91.15881254151142
3300082235_16.fna,3300082235_16,272_1,91.65566111
3300056881_33.fna,3300056881_33,273_0,43.44493166
3300075532_62.fna,3300075532_62,274_1,94.01432563019038
3300049306_8.fna,3300049306_8,274_2,77.02461604796137
3300061538_6.fna,3300061538_6,275_0,66.85067735654071
3300051200_65.fna,3300051200_65,276_1,81.70846941822813
3300018422_12.fna,3300018422_12,276_2,78.89612270040155
3300061211_37.fna,3300061211_37,277_1,77.42502026
3300054114_42.fna,3300054114_42,278_1,88.53027645758412
3300082224_65.fna,3300082224_65,279_0,69.84275570539278
3300082228_14.fna,3300082228_14,280_1,80.90612278980447
3300078432_43.fna,3300078432_43,281_0,66.78503972697075
3300080030_18.fna,3300080030_18,282_1,76.94788948143935
3300081264_5.fna,3300081264_5,283_0,66.66668754030786
3300077281_7.fna,3300077281_7,284_1,75.91187454245491
3300045996_153.fna,3300045996_153,285_1,81.54256677
3300018432_25.fna,3300018432_25,286_1,65.93099073778006
3300059446_11.fna,3300059446_11,287_1,70.13755214324503
3300061535_65.fna,3300061535_65,287_2,63.07834921276657
3300079162_72.fna,3300079162_72,288_0,74.25116905
3300079551_52.fna,3300079551_52,289_0,67.07179100230324
3300045996_121.fna,3300045996_121,290_0,85.90748337506247
3300061771_2.fna,3300061771_2,291_0,35.012693560660004
3300072123_17.fna,3300072123_17,292_0,94.73787513441425
3300051523_7.fna,3300051523_7,293_1,92.54134655
3300036850_9.fna,3300036850_9,294_0,46.56490910398967
3300076031_61.fna,3300076031_61,295_0,86.32206366575595
3300050239_40.fna,3300050239_40,296_0,96.95393400450716
3300055072_35.fna,3300055072_35,297_0,84.94242791025808
3300054704_123.fna,3300054704_123,298_0,86.62128486660879
3300080065_13.fna,3300080065_13,299_1,74.30401373650442
3300076648_6.fna,3300076648_6,300_1,83.68318558976691
3300065424_66.fna,3300065424_66,301_1,81.92697141898209
3300078706_3.fna,3300078706_3,301_2,76.46752043507072
3300078515_28.fna,3300078515_28,301_3,82.21788129
3300075563_51.fna,3300075563_51,301_4,73.00586715463827
